name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,mood
Pulling Me Down,Pulling Me Down,Revelries,3BfJ695pBWcdisi1TsJtQW,2021-11-26,53,162590,0.633,0.00401,0.882,0.0,0.144,0.372,-5.415,0.0713,123.992,7,4,energetic
Don't Worry,Don't Worry,Lone Tusker,5HCw4edXKPhXqh2YRAL2aC,2021-10-15,47,139484,0.68,0.134,0.749,0.000281,0.394,0.425,-7.248,0.028,114.005,10,4,energetic
Heatwave,Heatwave,Revelries,5JHREaHmnVSbPPUxwhstVj,2021-07-16,57,161194,0.673,0.095,0.776,0.0,0.197,0.532,-5.536,0.0442,124.014,4,4,energetic
Wade In Your Water,Summer Anthems,Common Kings,6DoYk3QIvkDs60S1d01vbx,2013-08-13,61,184013,0.598,0.26,0.687,0.0,0.112,0.626,-9.021,0.0955,75.169,7,4,energetic
If I'm Lucky,If I'm Lucky,Jason Derulo,6eUncuJutsFi9BGO1JaBHh,2017-08-31,56,212013,0.897,0.00413,0.634,0.0,0.0686,0.506,-6.264,0.161,112.048,4,4,energetic
Right Now (Na Na Na),Freedom (Int'l Version),Akon,6cj8s9tWTahcd0XmnM2tVj,2008-01-01,1,240746,0.832,0.269,0.87,0.0,0.415,0.577,-4.2,0.166,137.998,8,4,energetic
Ela Só Quer Paz,Ela Só Quer Paz,Projota,3mTUqLbtWm2DAEwvQTyu4d,2016-01-27,0,174382,0.667,0.0173,0.669,0.0,0.0737,0.939,-4.531,0.165,172.019,0,4,energetic
"Sorri, Sou Rei (feat. Claudia Leitte)",Box Natiruts,Natiruts,4UChhDCTtneR0QXN0btEmz,2012-08-14,59,332653,0.783,0.503,0.651,1.31e-05,0.121,0.643,-6.757,0.0338,101.015,9,4,energetic
Got 2 Luv U (feat. Alexis Jordan),Tomahawk Technique,Sean Paul,62pSYErgGri97X9aIyBzHm,2012-01-24,66,196640,0.605,0.0825,0.793,0.0,0.124,0.647,-3.084,0.297,184.032,7,4,energetic
Baba,Kelly Key,Kelly Key,2coxlAb4MdWJ9br51D0qn7,2001-08-17,50,224893,0.968,0.0418,0.6,0.0,0.0585,0.907,-5.679,0.0981,111.951,11,4,energetic
Shake It Off,1989,Taylor Swift,5xTtaWoae3wi06K5WfVUUH,2014-10-27,74,219200,0.647,0.0561,0.785,0.0,0.148,0.943,-5.414,0.165,160.015,7,4,energetic
Happy,Despicable Me 2 (Original Motion Picture Soundtrack),Various Artists,6NPVjNh8Jhru9xOmyQigds,2013-06-18,0,233305,0.652,0.286,0.757,0.0,0.0886,0.962,-6.819,0.153,159.911,1,4,energetic
Summer Paradise (feat. Sean Paul) - Single Version,Summer Paradise (feat. Sean Paul),Simple Plan,6kcuYyyU2tPxGP3PDVWYJT,2012-02-21,49,234786,0.421,0.0132,0.822,0.0,0.092,0.751,-4.415,0.0542,171.935,2,4,energetic
Sunshine,Spark Seeker,Matisyahu,56ZDcszhe1eCeghso93fXP,2012,49,213080,0.691,0.00654,0.791,0.0,0.0729,0.793,-3.747,0.0613,100.044,0,4,energetic
Walking On Sunshine,Katrina & The Waves,Katrina & The Waves,05wIrZSwuaVWhcv5FfqeH0,1985,79,238733,0.596,0.0116,0.869,0.173,0.0678,0.944,-11.97,0.037,109.902,10,4,energetic
Instruction (feat. Demi Lovato & Stefflon Don),Instruction (feat. Demi Lovato & Stefflon Don),Jax Jones,0XfOi87h82i09rQjWYG0Bm,2017-06-16,0,165466,0.767,0.104,0.934,0.0,0.0835,0.895,-3.057,0.195,121.069,4,4,energetic
Do Like That,Do like That,Korede Bello,0z0qRN3HNUCOG9y1R7umuD,2016-09-12,59,213519,0.835,0.357,0.366,0.0,0.0793,0.659,-10.246,0.426,114.044,5,4,energetic
Wannabe,Virgin Records: 40 Years Of Disruptions,Various Artists,0n6FMFq5bE22tNTmd6L9U4,2013-01-01,44,172720,0.764,0.0987,0.842,0.0,0.117,0.863,-6.923,0.0326,110.029,11,4,energetic
ABC,Anthology: Jackson 5,The Jackson 5,01gwPP2h3ajRnqiIphUtR7,2000-01-01,55,177426,0.725,0.426,0.804,0.000504,0.108,0.961,-7.84,0.0393,93.668,8,4,energetic
Hoist & Wine,Hoist & Wine,Charly Black,0XIz5SZTO8AJgteB0shpyN,2017-02-10,0,173531,0.574,0.179,0.869,0.0,0.305,0.929,-2.474,0.0813,134.746,7,5,energetic
Drive By,California 37,Train,7zWj09xkFgA9tcV6YhfU6q,2012-04-17,0,195973,0.765,0.00107,0.837,1.06e-05,0.0801,0.721,-3.113,0.032,122.028,1,4,energetic
Toxic,In The Zone,Britney Spears,6I9VzXrHxO9rA9A5euc8Ak,2003-11-13,82,198800,0.774,0.0249,0.838,0.025,0.242,0.924,-3.914,0.114,143.04,5,4,energetic
Dance Again,Dance Again...The Hits,Jennifer Lopez,4d2hD63oUGU3s7L66JD0BE,2012-07-20,68,237266,0.792,0.0159,0.856,2.88e-06,0.0981,0.714,-5.236,0.067,127.988,11,4,energetic
TiK ToK,Animal,Kesha,6nYoTBmGFNgfTyRC8x1Fvp,2010,0,199693,0.755,0.0746,0.832,1.27e-06,0.291,0.735,-2.741,0.116,120.032,2,4,energetic
Geronimo,Bombs Away,Sheppard,0qt5f5EL92o8Snzopsv0en,2015-01-12,71,218227,0.705,0.456,0.78,0.00152,0.115,0.457,-6.267,0.0805,142.028,7,4,energetic
The Best of Both Worlds,Best Of Hannah Montana,Hannah Montana,3T6DY7gUqGCcHG6HON54Ex,2011-01-01,41,175733,0.675,0.0417,0.848,0.0,0.0496,0.723,-4.006,0.0505,124.052,1,3,energetic
Girls Just Want to Have Fun,She's So Unusual,Cyndi Lauper,4y1LsJpmMti1PfRQV9AWWe,1983-10-14,79,238266,0.71,0.22,0.799,0.000602,0.349,0.725,-4.897,0.0328,120.372,6,4,energetic
Tip Toe (feat. French Montana),Tip Toe (feat. French Montana),Jason Derulo,2z4pcBLQXF2BXKFvd0BuB6,2017-11-10,65,187521,0.845,0.0233,0.709,0.0,0.094,0.62,-4.547,0.0714,98.062,10,4,energetic
The Rhythm of the Night,The Rhythm of the Night,Corona,0ofMkI3jzmGCElAOgOLeo3,1994,70,264280,0.69,0.000232,0.805,0.739,0.095,0.799,-11.522,0.0336,127.808,5,4,energetic
We Don't Have to Take Our Clothes Off - Radio Mix,Prayer,Robin Schulz,177UT0UJDGtptvvVI3JuBP,2014-09-16,37,200760,0.661,0.0217,0.799,0.0,0.377,0.517,-5.433,0.135,119.881,0,4,energetic
You Don't Know Me - Radio Edit,You Don't Know Me,Jax Jones,00lNx0OcTJrS3MKHcB80HY,2016-12-09,0,213946,0.876,0.163,0.669,0.0,0.185,0.682,-6.054,0.138,124.007,11,4,energetic
Domino,Domino,Jessie J,7MTvJ1opaAkaEx0guBsjWR,2011-01-01,0,231840,0.759,0.00729,0.563,0.0,0.0342,0.809,-4.543,0.0356,126.995,7,4,energetic
How Long,How Long,Charlie Puth,32DGGj6KlNuBr6WaqRxpxi,2017-10-05,0,198237,0.849,0.189,0.581,3.61e-06,0.0805,0.779,-5.243,0.0767,110.008,1,4,energetic
Rise Up - Radio Edit,Rise Up,Yves Larock,4evORFR2OaJydEctT2CEgf,2015-11-20,0,170760,0.655,0.000658,0.798,0.0,0.335,0.855,-7.137,0.131,128.103,2,4,energetic
Tô nem aí,Porta Aberta,Luka,1ES3AeBEBrkvmaFUUxJFVt,2003,53,154053,0.752,0.0726,0.908,0.0,0.184,0.94,-5.681,0.0308,128.125,2,4,energetic
Cotton Eye Joe,Sex & Violins,Rednex,06hsdMbBxWGqBO0TV0Zrkf,1994-08-12,71,194000,0.729,0.0129,0.936,0.000892,0.0367,0.598,-7.536,0.0776,131.986,9,4,energetic
DJ Got Us Fallin' In Love,DJ Got Us Fallin' In Love,Usher,5tXyNhNcsnn7HbcABntOSf,2010-07-13,0,222160,0.666,0.03,0.878,0.0,0.0828,0.669,-2.85,0.0973,119.932,7,4,energetic
Whistle,Whistle,Flo Rida,0ltBH1JNzSvQJPjJpvTu9B,2012-04-24,59,225000,0.754,0.0199,0.933,0.0,0.297,0.75,-5.786,0.0448,103.992,0,4,energetic
Locked Away (feat. Adam Levine),What Dreams Are Made Of,R. City,7x5xYW5W42OGPAdHUyyguy,2015-10-09,78,227480,0.509,0.304,0.671,0.0,0.0452,0.55,-5.709,0.0678,118.413,1,5,energetic
