name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,mood
Marry You,Doo-Wops & Hooligans,Bruno Mars,6SKwQghsR8AISlxhcwyA9R,2010-10-05,76,230192,0.621,0.332,0.82,0.0,0.104,0.452,-4.865,0.0367,144.905,10,4,happy
Sunroof,Sunroof,Nicky Youre,4h4QlmocP3IuwYEj2j14p8,2021-12-03,89,163025,0.768,0.352,0.714,0.0,0.15,0.842,-5.11,0.0401,131.443,10,4,happy
Shape of You,Shape of You,Navagio,2796m8y7tOCTUsTQfjmeI4,2022-01-20,55,157647,0.81,0.303,0.636,0.0,0.131,0.687,-6.072,0.0487,101.966,1,4,happy
If I Can't Have You,Shawn Mendes (Deluxe),Shawn Mendes,2bT1PH7Cw3J9p3t7nlXCdh,2019-06-19,73,191466,0.691,0.487,0.823,0.0,0.134,0.87,-4.197,0.0623,123.935,2,4,happy
Savage Love (Laxed - Siren Beat),Savage Love (Laxed - Siren Beat),Jawsh 685,1xQ6trAsedVPCdbtDAmk0c,2020-06-11,79,171374,0.767,0.234,0.481,0.0,0.269,0.761,-8.52,0.0803,150.076,0,4,happy
Clap Your Hands,Clap Your Hands,Kungs,7g7OshelYRRnOSEMmisJVI,2022-02-18,80,189880,0.878,0.0507,0.875,3.42e-05,0.356,0.84,-4.923,0.0658,124.006,1,4,happy
Cooler Than Me (feat. Big Sean),Cooler Than Me EP,Mike Posner,2DPYlWl50ydYsnnuryL5aX,2009-12-15,70,227840,0.837,0.103,0.515,0.0,0.233,0.769,-4.065,0.0793,129.001,7,4,happy
So Nice,So Nice,Mitchy Katawazi,0T7vRa9aRXSKEtOwfWdF9R,2022-05-06,55,169043,0.853,0.114,0.647,0.0,0.134,0.692,-5.593,0.0706,115.087,7,4,happy
Beggin',Chosen,Måneskin,3Wrjm47oTz2sjIgck11l5e,2017-12-08,87,211560,0.714,0.127,0.8,0.0,0.359,0.589,-4.808,0.0504,134.002,11,4,happy
Don't Start Now,Don't Start Now,Dua Lipa,6WrI0LAC5M1Rw2MnX2ZvEg,2019-10-31,80,183290,0.794,0.0125,0.793,0.0,0.0952,0.677,-4.521,0.0842,123.941,11,4,happy
"Weekend (Party, Sleep, Repeat)","Weekend (Party, Sleep, Repeat)",Mark Mendy,5066WzFaeJhqmQmKjBmrr6,2022-05-19,70,138556,0.813,0.138,0.853,0.0,0.0845,0.732,-4.756,0.163,123.005,10,4,happy
Whole Again,Whole Again,Kid On The Block,7eYUtVuBYUSp5sCMkVokgt,2020-11-20,59,191219,0.672,0.34,0.676,5.02e-06,0.155,0.381,-7.304,0.0379,123.014,4,4,happy
Dancing in the Moonlight (feat. NEIMY),Dancing in the Moonlight (feat. NEIMY),Jubël,5ow0sNF1zSqp71Ix5jEXWU,2018-06-22,63,164009,0.659,0.27,0.617,0.0,0.187,0.187,-5.862,0.0649,119.858,11,4,happy
If You Had My Love,If You Had My Love,TWOPILOTS,0JWSMYurMhPmlD5H8VRoTn,2021-04-30,68,174210,0.77,0.375,0.875,0.0,0.335,0.766,-4.012,0.0817,113.99,10,4,happy
Budapest,Wanted on Voyage,George Ezra,7GJClzimvMSghjcrKxuf1M,2014-06-27,3,200720,0.714,0.0883,0.451,0.0,0.108,0.406,-8.268,0.0276,127.787,5,4,happy
FeelSad,Extra-Curriculars,Cudos,6R8jpmLBOxq5thYbA43bNj,2021-07-09,41,214125,0.805,0.111,0.627,0.0,0.745,0.653,-7.086,0.0638,119.978,10,4,happy
Single Ladies (Put a Ring on It),I AM...SASHA FIERCE - Platinum Edition,Beyoncé,557un1HgwYMuqfWGSTmnxw,2008,68,192586,0.426,0.0383,0.584,0.0,0.192,0.272,-5.293,0.296,193.438,1,4,happy
Friendly Sex,Friendly Sex,Caity Baser,0UIaM3C7aw2ao6ZDatzEir,2022-03-25,62,159193,0.934,0.423,0.608,0.0,0.107,0.743,-7.306,0.263,123.948,5,4,happy
Beautiful Mistakes (feat. Megan Thee Stallion),Beautiful Mistakes (feat. Megan Thee Stallion),Maroon 5,6fRxMU4LWwyaSSowV441IU,2021-03-03,34,227395,0.713,0.0377,0.676,0.0,0.154,0.721,-5.483,0.027,99.048,10,4,happy
Anything,Anything,Marc Benjamin,74bv7UX4lmiu5ukPgHOUcY,2022-06-17,52,143606,0.747,0.228,0.677,2.6e-05,0.252,0.189,-9.227,0.0721,122.034,7,4,happy
Moonlight Shadow,Moonlight Shadow,Madism,1rsarV6yuF0D4f1vB1F30T,2021-11-19,70,160645,0.587,0.0101,0.711,0.00621,0.221,0.303,-6.408,0.0876,123.95,0,4,happy
Trumpets,Tattoos (Special Edition),Jason Derulo,0C6BYlsXKgAQPnMfbYOnV4,2013-09-10,56,217306,0.627,0.563,0.703,0.0,0.0962,0.64,-4.884,0.236,81.897,0,4,happy
SexyBack (feat. Timbaland),FutureSex/LoveSounds,Justin Timberlake,0O45fw2L5vsWpdsOdXwNAR,2006-09-12,79,242733,0.967,0.0584,0.583,0.0,0.0519,0.964,-5.562,0.0789,117.0,7,4,happy
Rather Be (feat. Jess Glynne),New Eyes,Clean Bandit,0TVV2gFROJaB3kIZyCUvIY,2014-05-27,62,227833,0.799,0.162,0.586,2.03e-06,0.193,0.549,-6.735,0.0377,120.97,11,4,happy
Butter,Butter,Navagio,6ZhLY88J8lK1aELIBkEwNM,2022-02-17,57,111147,0.943,0.109,0.772,0.0,0.166,0.656,-3.945,0.117,121.973,8,4,happy
DJ Got Us Fallin' In Love (feat. Pitbull),Raymond v Raymond (Expanded Edition),Usher,4356Typ82hUiFAynbLYbPn,2010-03-30,80,220800,0.663,0.0338,0.861,0.0,0.082,0.654,-3.398,0.109,119.963,7,4,happy
Mr. Saxobeat,Mr. Saxobeat,Masove,3oVVFLLZPuRepSkcwgQ294,2021-05-07,68,158709,0.508,0.0725,0.874,1.19e-05,0.0422,0.432,-4.871,0.087,120.347,7,4,happy
"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",Greatest Hits,Pitbull,7rIhVsWn8W82shpRiPDrXc,2017-12-01,60,252880,0.669,0.192,0.939,0.0,0.295,0.53,-3.209,0.161,129.014,3,4,happy
Be My Lover,Be My Lover,Owen Norton,0mQNFiamtlZF5i6DGYckTv,2022-02-24,62,150476,0.714,0.0074,0.874,0.000196,0.383,0.581,-5.385,0.0998,126.028,1,4,happy
Closer,Closer,The Chainsmokers,7BKLCZ1jbUBVqRi2FVlTVw,2016-07-29,85,244960,0.748,0.414,0.524,0.0,0.111,0.661,-5.599,0.0338,95.01,8,4,happy
King,Communion (Deluxe),Years & Years,3AeicLnm55RqcXGBKYQolM,2015-07-10,71,215360,0.56,0.0594,0.857,0.0,0.381,0.432,-4.145,0.0384,119.975,4,4,happy
We Found Love,Talk That Talk,Rihanna,0U10zFw4GlBacOy9VDGfGL,2011-11-19,77,215226,0.735,0.025,0.766,0.00138,0.108,0.6,-4.485,0.0383,127.985,1,4,happy
Like A Prayer,Like A Prayer,Madism,319J2YqAVDmQXpUJGCxDkv,2021-07-23,74,183991,0.67,0.0134,0.848,9.85e-06,0.332,0.373,-4.437,0.0501,124.019,4,4,happy
Rude,Don't Kill the Magic,MAGIC!,6RtPijgfPKROxEzTHNRiDp,2014-06-25,81,224840,0.773,0.0422,0.758,0.0,0.305,0.925,-4.993,0.0381,144.033,1,4,happy
Troublemaker (feat. Flo Rida),Right Place Right Time (Expanded Edition),Olly Murs,6s8nHXTJVqFjXE4yVZPDHR,2012-11-26,76,185586,0.762,0.015,0.863,0.0,0.125,0.965,-3.689,0.0561,106.012,0,4,happy
I've Got A Tattoo,I've Got A Tattoo,Mitchy Katawazi,29Nr3xENY08rXTlRcIAwbO,2022-03-25,51,157857,0.727,0.0213,0.678,2.76e-05,0.276,0.741,-8.783,0.132,104.977,2,4,happy
